,ENCODED_MCT,MCT_BSE_AR,MCT_NM,MCT_BRD_NUM,MCT_SIGUNGU_NM,HPSN_MCT_ZCD_NM,HPSN_MCT_BZN_CD_NM,ARE_D,MCT_ME_D,url
375,88714937FD,서울특별시 성동구 광나루로 289,닭한*****,,서울 성동구,한식-국수/만두,,20010726,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B4%91%EB%82%98%EB%A3%A8%EB%A1%9C%20289/place/20842179?c=15.00,0,0,0,dh&isCorrectAnswer=true"
376,D7B0E38FA8,서울특별시 성동구 광나루로 290,진지****,한식-육류/고기24,서울 성동구,한식-육류/고기,,20070627,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B4%91%EB%82%98%EB%A3%A8%EB%A1%9C%20290/place/13047998?c=15.00,0,0,0,dh&isCorrectAnswer=true"
377,9070B8640F,서울특별시 성동구 광나루로 290,완산***,한식-국밥/설렁탕8,서울 성동구,한식-국밥/설렁탕,,20080226,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B4%91%EB%82%98%EB%A3%A8%EB%A1%9C%20290/place/20867182?c=15.00,0,0,0,dh&isCorrectAnswer=true"
378,F1039455F0,서울특별시 성동구 금호로 127 ,목포**,,서울 성동구,한식-육류/고기,신금호,20160622,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EB%A1%9C%20127%20/place/37420307?c=15.00,0,0,0,dh&isCorrectAnswer=true"
379,870775BC01,서울특별시 성동구 금호로 127 ,육장*******,한식-육류/고기20,서울 성동구,한식-육류/고기,신금호,20160707,,-
380,68B6CAE65F,서울특별시 성동구 금호로 62-1,더 **,,서울 성동구,식료품,금남시장,20180801,,-
381,A149A462C3,서울특별시 성동구 금호로 62-1,요거**********,,서울 성동구,아이스크림/빙수,금남시장,20240426,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EB%A1%9C%2062-1/place/1823962793?c=15.00,0,0,0,dh&isCorrectAnswer=true"
382,DC17B81D3E,서울특별시 성동구 금호로11길 1,튜니**,,서울 성동구,호프/맥주,신금호,20110131,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EB%A1%9C11%EA%B8%B8%201/place/1738674028?c=15.00,0,0,0,dh&isCorrectAnswer=true"
383,BA01E62E84,서울특별시 성동구 금호로11길 4,해물**,,서울 성동구,한식-해물/생선,신금호,20090918,20250117.0,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EB%A1%9C11%EA%B8%B8%204/place/18780788?c=15.00,0,0,0,dh&isCorrectAnswer=true"
384,31DE46AC2D,서울특별시 성동구 금호산2길 19,맛있*****,,서울 성동구,떡/한과 제조,금남시장,20111010,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EC%82%B02%EA%B8%B8%2019/place/1325215314?c=15.00,0,0,0,dh&isCorrectAnswer=true"
385,F717FD0621,서울특별시 성동구 금호산2길 5,유쾌**,,서울 성동구,포장마차,금남시장,20150313,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EC%82%B02%EA%B8%B8%205/place/1983525415?c=15.00,0,0,0,dh&isCorrectAnswer=true"
386,C8E1C54769,서울특별시 성동구 금호산길 55,막퍼*******,,서울 성동구,한식-국수/만두,신금호,20151221,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EC%82%B0%EA%B8%B8%2055/place/1872312718?c=15.00,0,0,0,dh&isCorrectAnswer=true"
387,F6F4BCEF5D,서울특별시 성동구 금호산길 56,코끼******,,서울 성동구,한식-냉면,신금호,20140327,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EC%82%B0%EA%B8%B8%2056/place/137637975?c=15.00,0,0,0,dh&isCorrectAnswer=true"
388,F2A06B9694,서울특별시 성동구 금호산길 64,이디*************,커피전문점6,서울 성동구,커피전문점,신금호,20140603,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EC%82%B0%EA%B8%B8%2064/place/1583432328?c=15.00,0,0,0,dh&isCorrectAnswer=true"
389,F7AD65B492,서울특별시 성동구 금호산길 65,파리*********,베이커리10,서울 성동구,베이커리,신금호,20150203,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EC%82%B0%EA%B8%B8%2065/place/36948975?c=15.00,0,0,0,dh&isCorrectAnswer=true"
390,0B5B2332CF,서울특별시 성동구 금호산길 67,남원***,한식-해물/생선2,서울 성동구,한식-해물/생선,신금호,20130605,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EA%B8%88%ED%98%B8%EC%82%B0%EA%B8%B8%2067/place/20896060?c=15.00,0,0,0,dh&isCorrectAnswer=true"
391,E47826B7B5,서울특별시 성동구 독서당로 287,페리****,치킨37,서울 성동구,치킨,금남시장,20080124,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%8F%85%EC%84%9C%EB%8B%B9%EB%A1%9C%20287/place/11799956?c=15.00,0,0,0,dh&isCorrectAnswer=true"
392,6ED0C81CE7,서울특별시 성동구 독서당로 326,비비**********,치킨2,서울 성동구,치킨,금남시장,20111101,,-
393,90A718A704,서울특별시 성동구 독서당로 384,파리********,베이커리10,서울 성동구,베이커리,,20100129,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%8F%85%EC%84%9C%EB%8B%B9%EB%A1%9C%20384/place/17905177?c=15.00,0,0,0,dh&isCorrectAnswer=true"
394,C04BD1DD58,서울특별시 성동구 동일로 123 ,이디*********,,서울 성동구,식료품,,20160721,,-
395,2D0E5434C1,서울특별시 성동구 동일로 143 ,명동*******,한식-국수/만두7,서울 성동구,한식-국수/만두,,20200803,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%8F%99%EC%9D%BC%EB%A1%9C%20143%20/place/1263874950?c=15.00,0,0,0,dh&isCorrectAnswer=true"
396,69506949A8,서울특별시 성동구 동일로 143 ,본가*********,,서울 성동구,한식-육류/고기,,20160315,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%8F%99%EC%9D%BC%EB%A1%9C%20143%20/place/38306970?c=15.00,0,0,0,dh&isCorrectAnswer=true"
397,3EC80135EF,서울특별시 성동구 동일로 75-33,마포****,,서울 성동구,한식-육류/고기,,20010723,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%8F%99%EC%9D%BC%EB%A1%9C%2075-33/place/1763642816?c=15.00,0,0,0,dh&isCorrectAnswer=true"
398,A690F78364,서울특별시 성동구 동호로 104 ,용남***,,서울 성동구,수산물,금남시장,20160127,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%8F%99%ED%98%B8%EB%A1%9C%20104%20/place/1361524578?c=15.00,0,0,0,dh&isCorrectAnswer=true"
399,5C14F5FBA3,서울특별시 성동구 뚝섬로 327 ,도미********,피자2,서울 성동구,피자,,20140410,,
400,D395BA1A40,서울특별시 성동구 뚝섬로 341-8,10**,,서울 성동구,일식당,성수,20100607,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%9A%9D%EC%84%AC%EB%A1%9C%20341-8/place/13482319?c=15.00,0,0,0,dh&isCorrectAnswer=true"
401,A256E0BDFC,서울특별시 성동구 뚝섬로 401-2,칠성**,,서울 성동구,한식-육류/고기,성수,20020404,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%9A%9D%EC%84%AC%EB%A1%9C%20401-2/place/17920711?c=15.00,0,0,0,dh&isCorrectAnswer=true"
402,098A971F35,서울특별시 성동구 뚝섬로 408-7,생태***,,서울 성동구,한식-해물/생선,성수,20090220,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%9A%9D%EC%84%AC%EB%A1%9C%20408-7/place/17924348?c=15.00,0,0,0,dh&isCorrectAnswer=true"
403,C8DB619114,서울특별시 성동구 뚝섬로3길 9,고흥*,,서울 성동구,백반/가정식,성수,20141202,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%9A%9D%EC%84%AC%EB%A1%9C3%EA%B8%B8%209/place/37490517?c=15.00,0,0,0,dh&isCorrectAnswer=true"
404,05354D332D,서울특별시 성동구 마장로 220-5,정원**,,서울 성동구,한식-단품요리일반,왕십리,20010727,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%9E%A5%EB%A1%9C%20220-5/place/31455035?c=15.00,0,0,0,dh&isCorrectAnswer=true"
405,E45CC78273,서울특별시 성동구 마장로 230-1,시온**,,서울 성동구,식료품,왕십리,20100107,,-
406,B0FAF5B316,서울특별시 성동구 마장로 296 ,달무*,,서울 성동구,떡/한과 제조,,20191108,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%9E%A5%EB%A1%9C%20296%20/place/37384131?c=15.00,0,0,0,dh&isCorrectAnswer=true"
407,0B2BB3D26D,서울특별시 성동구 마장로 309 ,70*****,,서울 성동구,룸살롱/단란주점,,20170116,,-
408,6D320602C6,서울특별시 성동구 마장로27길 2,삼겹****,,서울 성동구,한식-육류/고기,왕십리,20110221,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%9E%A5%EB%A1%9C27%EA%B8%B8%202/place/20820148?c=15.00,0,0,0,dh&isCorrectAnswer=true"
409,BFA11D536A,서울특별시 성동구 마장로27길 6,풀코*,,서울 성동구,호프/맥주,,20040420,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%9E%A5%EB%A1%9C27%EA%B8%B8%206/place/1073189190?c=15.00,0,0,0,dh&isCorrectAnswer=true"
410,6E3F359ACF,서울특별시 성동구 마장로42길 2,마장*,,서울 성동구,백반/가정식,,20040513,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%9E%A5%EB%A1%9C42%EA%B8%B8%202/place/31398070?c=15.00,0,0,0,dh&isCorrectAnswer=true"
411,AF2688FD34,서울특별시 성동구 마조로 15-10,장모**,한식-육류/고기22,서울 성동구,한식-육류/고기,한양대,20061121,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C%2015-10/place/37996806?c=15.00,0,0,0,dh&isCorrectAnswer=true"
412,F8A9873648,서울특별시 성동구 마조로 15-2,돈쫄******,,서울 성동구,일식-덮밥/돈가스,한양대,20170221,,-
413,8532370698,서울특별시 성동구 마조로 15-3,싸구**,,서울 성동구,포장마차,한양대,20160610,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C%2015-3/place/38644135?c=15.00,0,0,0,dh&isCorrectAnswer=true"
414,0BD65CD437,서울특별시 성동구 마조로 15-6,블랙****,,서울 성동구,호프/맥주,한양대,20161122,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C%2015-6/place/1379300977?c=15.00,0,0,0,dh&isCorrectAnswer=true"
415,F293AC18EB,서울특별시 성동구 마조로 15-6,짱*,,서울 성동구,한식-육류/고기,한양대,20040915,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C%2015-6/place/37379345?c=15.00,0,0,0,dh&isCorrectAnswer=true"
416,95EBE36D82,서울특별시 성동구 마조로 19-10,한양***,,서울 성동구,식품 제조,한양대,20060202,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C%2019-10/place/82762648?c=15.00,0,0,0,dh&isCorrectAnswer=true"
417,F88A12BCAB,서울특별시 성동구 마조로19길 7,한우**,,서울 성동구,한식-육류/고기,,20241112,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C19%EA%B8%B8%207/place/1110125437?c=15.00,0,0,0,dh&isCorrectAnswer=true"
418,80012F987D,서울특별시 성동구 마조로1길 2,타로*******,,서울 성동구,카페,한양대,20090608,,-
419,E8BDFFAD07,서울특별시 성동구 마조로1길 2,도스**,기타세계요리1,서울 성동구,기타세계요리,한양대,20140220,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C1%EA%B8%B8%202/place/34500898?c=15.00,0,0,0,dh&isCorrectAnswer=true"
420,98C1A0A96B,서울특별시 성동구 마조로1길 2,행*,,서울 성동구,일식-덮밥/돈가스,한양대,20140205,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C1%EA%B8%B8%202/place/19872984?c=15.00,0,0,0,dh&isCorrectAnswer=true"
421,582577A831,서울특별시 성동구 마조로1길 4,나그***,,서울 성동구,요리주점,한양대,20080414,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C1%EA%B8%B8%204/place/13321768?c=15.00,0,0,0,dh&isCorrectAnswer=true"
422,79423CC5CA,서울특별시 성동구 마조로1길 4,토속***,,서울 성동구,한식-단품요리일반,한양대,20080828,,-
423,9643B485DF,서울특별시 성동구 마조로1길 6,카페***,,서울 성동구,커피전문점,한양대,20171221,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C1%EA%B8%B8%206/place/1132204697?c=15.00,0,0,0,dh&isCorrectAnswer=true"
424,7B396AAF59,서울특별시 성동구 마조로3길 8,전도*,,서울 성동구,한식-단품요리일반,한양대,20160420,,-
425,4F68679BB6,서울특별시 성동구 마조로5길 4,더벤*,커피전문점1,서울 성동구,커피전문점,한양대,20150515,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C5%EA%B8%B8%204/place/1446320101?c=15.00,0,0,0,dh&isCorrectAnswer=true"
426,9E2D544C88,서울특별시 성동구 마조로5길 9,당나**********,,서울 성동구,포장마차,한양대,20160809,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C5%EA%B8%B8%209/place/1080214968?c=15.00,0,0,0,dh&isCorrectAnswer=true"
427,E4C7CD6FBB,서울특별시 성동구 마조로7길 11,치킨*******,치킨33,서울 성동구,치킨,한양대,20140924,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C7%EA%B8%B8%2011/place/37257085?c=15.00,0,0,0,dh&isCorrectAnswer=true"
428,1BC90B10EC,서울특별시 성동구 마조로7길 12,곱창***,,서울 성동구,한식-육류/고기,한양대,20010927,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C7%EA%B8%B8%2012/place/20884448?c=15.00,0,0,0,dh&isCorrectAnswer=true"
429,28BE1401AB,서울특별시 성동구 마조로7길 5,육회***,백반/가정식18,서울 성동구,백반/가정식,한양대,20150724,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C7%EA%B8%B8%205/place/36994801?c=15.00,0,0,0,dh&isCorrectAnswer=true"
430,0732DD7F6A,서울특별시 성동구 마조로7길 5,내가***,한식-육류/고기5,서울 성동구,한식-육류/고기,한양대,20150804,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C7%EA%B8%B8%205/place/36958604?c=15.00,0,0,0,dh&isCorrectAnswer=true"
431,41BCC06E83,서울특별시 성동구 마조로7길 8,압구***********,,서울 성동구,한식-육류/고기,한양대,20160314,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C7%EA%B8%B8%208/place/1288408752?c=15.00,0,0,0,dh&isCorrectAnswer=true"
432,6C1F093FD7,서울특별시 성동구 마조로9길 5,뺑드*,,서울 성동구,베이커리,한양대,20230105,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C9%EA%B8%B8%205/place/36543312?c=15.00,0,0,0,dh&isCorrectAnswer=true"
433,9A2D5845EB,서울특별시 성동구 마조로9길 8,무한**,,서울 성동구,한식-육류/고기,한양대,20130625,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%88%EC%A1%B0%EB%A1%9C9%EA%B8%B8%208/place/92059751?c=15.00,0,0,0,dh&isCorrectAnswer=true"
434,0AE494A908,서울특별시 성동구 매봉길 16-32,소마*****,,서울 성동구,농산물,옥수,20160321,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%A7%A4%EB%B4%89%EA%B8%B8%2016-32/place/37668010?c=15.00,0,0,0,dh&isCorrectAnswer=true"
435,4FF64DE415,서울특별시 성동구 무수막길 89,신금********,,서울 성동구,한식-육류/고기,신금호,20100609,20250710.0,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%AC%B4%EC%88%98%EB%A7%89%EA%B8%B8%2089/place/1171835183?c=15.00,0,0,0,dh&isCorrectAnswer=true"
436,0D76004886,서울특별시 성동구 무수막길 90,멋진*,,서울 성동구,치킨,신금호,20021203,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%AC%B4%EC%88%98%EB%A7%89%EA%B8%B8%2090/place/1598036667?c=15.00,0,0,0,dh&isCorrectAnswer=true"
437,5779AEFA66,서울특별시 성동구 무수막길 92,미소**,,서울 성동구,분식,신금호,20151104,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%AC%B4%EC%88%98%EB%A7%89%EA%B8%B8%2092/place/38283268?c=15.00,0,0,0,dh"
438,A6EDA7FB67,서울특별시 성동구 무수막길 94,든든****,,서울 성동구,떡/한과 제조,신금호,20161017,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%AC%B4%EC%88%98%EB%A7%89%EA%B8%B8%2094/place/1538465192?c=15.00,0,0,0,dh&isCorrectAnswer=true"
439,4E530BFB48,서울특별시 성동구 무학로 20-1,치킨***,,서울 성동구,호프/맥주,,20160704,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%AC%B4%ED%95%99%EB%A1%9C%2020-1/place/36480750?c=15.00,0,0,0,dh&isCorrectAnswer=true"
440,537EED164B,서울특별시 성동구 무학로2길 23,다*,,서울 성동구,백반/가정식,왕십리,20050829,,-
441,2816E24ED9,서울특별시 성동구 무학로2길 31,호호***,,서울 성동구,한식-육류/고기,왕십리,20110530,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%AC%B4%ED%95%99%EB%A1%9C2%EA%B8%B8%2031/place/1887825070?c=15.00,0,0,0,dh&isCorrectAnswer=true"
442,6B4688F13F,서울특별시 성동구 무학로2길 37,달인***,,서울 성동구,한식-육류/고기,왕십리,19990116,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%AC%B4%ED%95%99%EB%A1%9C2%EA%B8%B8%2037/place/1351876524?c=15.00,0,0,0,dh&isCorrectAnswer=true"
443,08AFA3AAA2,서울특별시 성동구 무학로2길 43,헤라******,,서울 성동구,일반 유흥주점,왕십리,20160602,,-
444,8634C80463,서울특별시 성동구 무학로2길 44,싼타*,,서울 성동구,룸살롱/단란주점,왕십리,20080326,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%AC%B4%ED%95%99%EB%A1%9C2%EA%B8%B8%2044/place/1714875057?c=15.00,0,0,0,dh&isCorrectAnswer=true"
445,5DEA8CA245,서울특별시 성동구 무학로2길 46,조마****,한식-감자탕1,서울 성동구,한식-감자탕,왕십리,19980818,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%AC%B4%ED%95%99%EB%A1%9C2%EA%B8%B8%2046/place/1131443831?c=15.00,0,0,0,dh&isCorrectAnswer=true"
446,EAC8D706B1,서울특별시 성동구 무학로2길 48,바다**,,서울 성동구,한식-해물/생선,왕십리,20070724,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%AC%B4%ED%95%99%EB%A1%9C2%EA%B8%B8%2048/place/17892552?c=15.00,0,0,0,dh&isCorrectAnswer=true"
447,5B33B06965,서울특별시 성동구 무학로6길 29,진성**,,서울 성동구,농산물,왕십리,20130611,,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%8F%99%EA%B5%AC%20%EB%AC%B4%ED%95%99%EB%A1%9C6%EA%B8%B8%2029/place/1790624771?c=15.00,0,0,0,dh&isCorrectAnswer=true"
